isHome,shotType,situation,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,match_id,match_date,player_name,player_position,player_id,shot_x,shot_y
False,block,assisted,left-foot,low-centre,"{""x"": 0, ""y"": 50.1, ""z"": 19}","{""x"": 16.7, ""y"": 39.5, ""z"": 0}",0.044246505945921,0.0,3701430,1,,18,"{""start"": {""x"": 37.6, ""y"": 19.8}, ""block"": {""x"": 39.5, ""y"": 16.7}, ""end"": {""x"": 49.9, ""y"": 0}, ""goal"": {""x"": 49.9, ""y"": 81}}",45,2682,18,shot,,12436910,2024-09-01,Jean-Philippe Mateta,F,848276,19.8,37.6
True,block,assisted,right-foot,low-centre,"{""x"": 0, ""y"": 49.5, ""z"": 19}","{""x"": 0.90000000000001, ""y"": 51.6, ""z"": 0}",0.13758890330791,0.0,4475948,1,,24,"{""start"": {""x"": 60.1, ""y"": 7.6}, ""block"": {""x"": 51.6, ""y"": 0.90000000000001}, ""end"": {""x"": 50.5, ""y"": 0}, ""goal"": {""x"": 50.5, ""y"": 81}}",45,2676,24,shot,,12436629,2025-02-22,Jaden Philogene-Bidace,M,1014461,7.6,60.1
True,block,throw-in-set-piece,left-foot,low-centre,"{""x"": 0, ""y"": 50.7, ""z"": 19}","{""x"": 12.4, ""y"": 50.2, ""z"": 0}",0.052230983972549,0.0,5000250,1,,32,"{""start"": {""x"": 50.3, ""y"": 14.1}, ""block"": {""x"": 50.2, ""y"": 12.4}, ""end"": {""x"": 49.3, ""y"": 0}, ""goal"": {""x"": 49.3, ""y"": 81}}",45,2668,32,shot,,12436538,2025-05-25,Conor Chaplin,M,784625,14.1,50.3
False,block,assisted,right-foot,low-centre,"{""x"": 0, ""y"": 51.4, ""z"": 19}","{""x"": 12, ""y"": 69.3, ""z"": 0}",0.04710890352726,0.0,4742872,1,,33,"{""start"": {""x"": 72.9, ""y"": 14.1}, ""block"": {""x"": 69.3, ""y"": 12}, ""end"": {""x"": 48.6, ""y"": 0}, ""goal"": {""x"": 48.6, ""y"": 81}}",45,2667,33,shot,,12436614,2025-04-12,Marcus Rashford,M,814590,14.1,72.9
True,block,regular,right-foot,low-centre,"{""x"": 0, ""y"": 48.9, ""z"": 19}","{""x"": 13.7, ""y"": 48.7, ""z"": 0}",0.066051572561264,0.0,4202996,1,,33,"{""start"": {""x"": 48.5, ""y"": 15.1}, ""block"": {""x"": 48.7, ""y"": 13.7}, ""end"": {""x"": 51.1, ""y"": 0}, ""goal"": {""x"": 51.1, ""y"": 81}}",45,2667,33,shot,,12436532,2024-12-29,Eberechi Eze,F,864921,15.1,48.5
True,block,assisted,left-foot,low-left,"{""x"": 0, ""y"": 52.2, ""z"": 19}","{""x"": 7.9, ""y"": 33.9, ""z"": 0}",0.039286620914936,0.0,4552539,1,,49,"{""start"": {""x"": 30.7, ""y"": 9.7}, ""block"": {""x"": 33.9, ""y"": 7.9}, ""end"": {""x"": 47.8, ""y"": 0}, ""goal"": {""x"": 47.8, ""y"": 81}}",45,2651,49,shot,,12437003,2025-03-08,Curtis Jones,M,927353,9.7,30.7
True,block,regular,left-foot,low-centre,"{""x"": 0, ""y"": 49.2, ""z"": 19}","{""x"": 12.8, ""y"": 59.6, ""z"": 0}",0.049169786274433,0.0,4695350,1,,58,"{""start"": {""x"": 61.5, ""y"": 15.6}, ""block"": {""x"": 59.6, ""y"": 12.8}, ""end"": {""x"": 50.8, ""y"": 0}, ""goal"": {""x"": 50.8, ""y"": 81}}",45,2642,58,shot,,12436587,2025-04-03,Pedro Neto,M,879349,15.6,61.5
True,block,regular,right-foot,low-centre,"{""x"": 0, ""y"": 49.8, ""z"": 19}","{""x"": 7.1, ""y"": 34.1, ""z"": 0}",0.035167496651411,0.0,4806032,2,,65,"{""start"": {""x"": 29.3, ""y"": 9.2}, ""block"": {""x"": 34.1, ""y"": 7.1}, ""end"": {""x"": 50.2, ""y"": 0}, ""goal"": {""x"": 50.2, ""y"": 81}}",44,2635,65,shot,,12436537,2025-04-21,Mathys Tel,F,1048888,9.2,29.3
False,block,assisted,right-foot,low-left,"{""x"": 0, ""y"": 52.8, ""z"": 19}","{""x"": 12.4, ""y"": 59.4, ""z"": 0}",0.027861522510648,0.0,4485050,2,,74,"{""start"": {""x"": 67.9, ""y"": 21.1}, ""block"": {""x"": 59.4, ""y"": 12.4}, ""end"": {""x"": 47.2, ""y"": 0}, ""goal"": {""x"": 47.2, ""y"": 81}}",44,2626,74,shot,,12436627,2025-02-23,Dominik Szoboszlai,M,869856,21.1,67.9
False,block,corner,right-foot,low-left,"{""x"": 0, ""y"": 52.8, ""z"": 19}","{""x"": 5.3, ""y"": 48, ""z"": 0}",0.14572829008102,0.0,4361339,2,,77,"{""start"": {""x"": 48.3, ""y"": 7.1}, ""block"": {""x"": 48, ""y"": 5.3}, ""end"": {""x"": 47.2, ""y"": 0}, ""goal"": {""x"": 47.2, ""y"": 81}}",44,2623,77,shot,,12436911,2025-02-01,Alexis Mac Allister,M,895324,7.1,48.3
